AbsoluteTime,Phase,Step,Loop,Iteration,Frequency,CPU_Usage,RSZ,SWAP,Cumul_pflts,Temperature,Read_Kbps,Write_Kbps
1676837664082,*,*,*,*,*,46.7,613.8m,0:00:00,0,65000,100692.72,
1676837664112,*,*,*,*,1146096,,,,,,,
1676837664300,*,*,*,*,2153071,,,,,,,
1676837664504,*,*,*,*,1671715,,,,,,,
1676837664703,*,*,*,*,1296984,,,,,,,
1676837664901,*,*,*,*,1484975,,,,,,,
1676837665099,*,*,*,*,2241082,,,,,,,
1676837665302,*,*,*,*,1418064,,,,,,,
1676837665395,*,*,*,*,*,53.3,749.7m,0:00:00,0,52000,9453.46,
1676837665503,*,*,*,*,1396823,,,,,,,
1676837665696,*,*,*,*,1847368,,,,,,,
1676837665895,*,*,*,*,2576588,,,,,,,
1676837666095,*,*,*,*,2876446,,,,,,,
1676837666296,*,*,*,*,2855496,,,,,,,
1676837666495,*,*,*,*,2871986,,,,,,,
1676837666702,*,*,*,*,2849651,,,,,,,
1676837666713,*,*,*,*,*,100.0,808.2m,0:00:00,0,76000,0.00,
1676837666900,*,*,*,*,2693873,,,,,,,
1676837667097,*,*,*,*,2803969,,,,,,,
1676837667295,*,*,*,*,2871298,,,,,,,
1676837667495,*,*,*,*,2874772,,,,,,,
1676837667696,*,*,*,*,2845022,,,,,,,
1676837667896,*,*,*,*,2868935,,,,,,,
1676837667980,*,*,*,*,*,100.0,848.9m,0:00:00,0,77000,0.00,
1676837668095,*,*,*,*,2839562,,,,,,,
1676837668296,*,*,*,*,2848625,,,,,,,
1676837668495,*,*,*,*,2860016,,,,,,,
1676837668696,*,*,*,*,2854916,,,,,,,
1676837668895,*,*,*,*,2868578,,,,,,,
1676837669096,*,*,*,*,2872469,,,,,,,
1676837669243,*,*,*,*,*,100.0,889.6m,0:00:00,0,77000,0.00,
1676837669295,*,*,*,*,2827190,,,,,,,
1676837669495,*,*,*,*,2790625,,,,,,,
1676837669696,*,*,*,*,2811673,,,,,,,
1676837669895,*,*,*,*,2870757,,,,,,,
1676837670095,*,*,*,*,2878004,,,,,,,
1676837670296,*,*,*,*,2871333,,,,,,,
1676837670499,*,*,*,*,2863847,,,,,,,
1676837670507,*,*,*,*,*,100.0,930.1m,0:00:00,0,77000,0.00,
1676837670699,*,*,*,*,2817946,,,,,,,
1676837670896,*,*,*,*,2810566,,,,,,,
1676837671096,*,*,*,*,2788643,,,,,,,
1676837671296,*,*,*,*,2867096,,,,,,,
1676837671496,*,*,*,*,2873923,,,,,,,
1676837671696,*,*,*,*,2792848,,,,,,,
1676837671776,*,*,*,*,*,93.8,565.6m,0:00:00,0,82000,0.00,
1676837671896,*,*,*,*,2822099,,,,,,,
1676837672095,*,*,*,*,2746563,,,,,,,
1676837672295,*,*,*,*,2871501,,,,,,,
1676837672496,*,*,*,*,2874838,,,,,,,
1676837672696,*,*,*,*,2863806,,,,,,,
1676837672896,*,*,*,*,2870082,,,,,,,
1676837673037,*,*,*,*,*,100.0,565.6m,0:00:00,0,82000,0.00,
1676837673098,*,*,*,*,2804313,,,,,,,
1676837673296,*,*,*,*,2760065,,,,,,,
1676837673495,*,*,*,*,2864459,,,,,,,
1676837673695,*,*,*,*,2862504,,,,,,,
1676837673896,*,*,*,*,2867429,,,,,,,
1676837674096,*,*,*,*,2866908,,,,,,,
1676837674300,*,*,*,*,2863937,,,,,,,
1676837674307,*,*,*,*,*,100.0,565.6m,0:00:00,0,83000,0.00,
1676837674499,*,*,*,*,2782972,,,,,,,
1676837674695,*,*,*,*,2794205,,,,,,,
1676837674896,*,*,*,*,2875940,,,,,,,
1676837675096,*,*,*,*,2786302,,,,,,,
1676837675296,*,*,*,*,2856230,,,,,,,
1676837675495,*,*,*,*,2875341,,,,,,,
1676837675574,*,*,*,*,*,100.0,565.6m,0:00:00,0,83000,0.00,
1676837675695,*,*,*,*,2823389,,,,,,,
1676837675896,*,*,*,*,2790647,,,,,,,
1676837676095,*,*,*,*,2862891,,,,,,,
1676837676295,*,*,*,*,2873722,,,,,,,
1676837676496,*,*,*,*,2854351,,,,,,,
1676837676695,*,*,*,*,2858082,,,,,,,
1676837676837,*,*,*,*,*,100.0,565.6m,0:00:00,0,82000,0.00,
1676837676896,*,*,*,*,2842916,,,,,,,
1676837677095,*,*,*,*,2786157,,,,,,,
1676837677296,*,*,*,*,2855837,,,,,,,
1676837677495,*,*,*,*,2875376,,,,,,,
1676837677695,*,*,*,*,2848961,,,,,,,
1676837677896,*,*,*,*,2857574,,,,,,,
1676837678099,*,*,*,*,2851939,,,,,,,
1676837678103,*,*,*,*,*,100.0,565.6m,0:00:00,0,83000,0.00,
1676837678299,*,*,*,*,2816707,,,,,,,
1676837678495,*,*,*,*,2810480,,,,,,,
1676837678696,*,*,*,*,2839955,,,,,,,
1676837678895,*,*,*,*,2873074,,,,,,,
1676837679096,*,*,*,*,2874960,,,,,,,
1676837679296,*,*,*,*,2859545,,,,,,,
1676837679370,*,*,*,*,*,100.0,565.6m,0:00:00,0,83000,0.00,
1676837679495,*,*,*,*,2829278,,,,,,,
1676837679695,*,*,*,*,2784506,,,,,,,
1676837679896,*,*,*,*,2832678,,,,,,,
1676837680095,*,*,*,*,2863778,,,,,,,
1676837680295,*,*,*,*,2871682,,,,,,,
1676837680495,*,*,*,*,2875920,,,,,,,
1676837680643,*,*,*,*,*,100.0,565.6m,0:00:00,0,84000,0.00,
1676837680696,*,*,*,*,2821260,,,,,,,
1676837680896,*,*,*,*,2786395,,,,,,,
1676837681095,*,*,*,*,2870157,,,,,,,
1676837681296,*,*,*,*,2851901,,,,,,,
1676837681495,*,*,*,*,2867823,,,,,,,
1676837681696,*,*,*,*,2819161,,,,,,,
